id,name,parent_id,itunes_genre_id,created_at,updated_at,category
20764,"映画",,33,"2017-11-21 18:16:58.995431","2017-11-21 18:16:58.995431","映画"
20765,"アクション／アドベンチャー",20764,4401,"2017-11-21 18:16:58.998984","2017-11-21 18:16:58.998984","映画"
20766,"アフリカ",20764,4434,"2017-11-21 18:16:59.000721","2017-11-21 18:16:59.000721","映画"
20767,"アニメ",20764,4402,"2017-11-21 18:16:59.002386","2017-11-21 18:16:59.002386","映画"
20768,"ボリウッド",20764,4431,"2017-11-21 18:16:59.004243","2017-11-21 18:16:59.004243","映画"
20769,"名作",20764,4403,"2017-11-21 18:16:59.006690","2017-11-21 18:16:59.006690","映画"
20770,"コメディ",20764,4404,"2017-11-21 18:16:59.009289","2017-11-21 18:16:59.009289","映画"
20771,"ライブビデオ",20764,4422,"2017-11-21 18:16:59.011129","2017-11-21 18:16:59.011129","映画"
20772,"ドキュメンタリー",20764,4405,"2017-11-21 18:16:59.012732","2017-11-21 18:16:59.012732","映画"
20773,"ドラマ",20764,4406,"2017-11-21 18:16:59.014407","2017-11-21 18:16:59.014407","映画"
20774,"外国",20764,4407,"2017-11-21 18:16:59.016101","2017-11-21 18:16:59.016101","映画"
20775,"ホリデー",20764,4420,"2017-11-21 18:16:59.018036","2017-11-21 18:16:59.018036","映画"
20776,"ホラー",20764,4408,"2017-11-21 18:16:59.020216","2017-11-21 18:16:59.020216","映画"
20777,"インディペンデント",20764,4409,"2017-11-21 18:16:59.022037","2017-11-21 18:16:59.022037","映画"
20778,"日本映画",20764,4425,"2017-11-21 18:16:59.023808","2017-11-21 18:16:59.023808","映画"
20779,"時代劇",20764,4426,"2017-11-21 18:16:59.025389","2017-11-21 18:16:59.025389","映画"
20780,"キッズ／ファミリー",20764,4410,"2017-11-21 18:16:59.027039","2017-11-21 18:16:59.027039","映画"
20781,"韓国映画",20764,4428,"2017-11-21 18:16:59.028946","2017-11-21 18:16:59.028946","映画"
20782,"テレビ映画",20764,4421,"2017-11-21 18:16:59.030974","2017-11-21 18:16:59.030974","映画"
20783,"中東",20764,4433,"2017-11-21 18:16:59.032895","2017-11-21 18:16:59.032895","映画"
20784,"音楽ドキュメンタリー",20764,4423,"2017-11-21 18:16:59.034618","2017-11-21 18:16:59.034618","映画"
20785,"音楽映画",20764,4424,"2017-11-21 18:16:59.036533","2017-11-21 18:16:59.036533","映画"
20786,"ミュージカル",20764,4411,"2017-11-21 18:16:59.038557","2017-11-21 18:16:59.038557","映画"
20787,"インド地方音楽",20764,4432,"2017-11-21 18:16:59.040595","2017-11-21 18:16:59.040595","映画"
20788,"ロマンス",20764,4412,"2017-11-21 18:16:59.042649","2017-11-21 18:16:59.042649","映画"
20789,"ロシア",20764,4429,"2017-11-21 18:16:59.044499","2017-11-21 18:16:59.044499","映画"
20790,"SF／ファンタジー",20764,4413,"2017-11-21 18:16:59.046255","2017-11-21 18:16:59.046255","映画"
20791,"短編映画",20764,4414,"2017-11-21 18:16:59.047896","2017-11-21 18:16:59.047896","映画"
20792,"趣味／教養",20764,4415,"2017-11-21 18:16:59.049631","2017-11-21 18:16:59.049631","映画"
20793,"スポーツ",20764,4417,"2017-11-21 18:16:59.051628","2017-11-21 18:16:59.051628","映画"
20794,"スリラー",20764,4416,"2017-11-21 18:16:59.053692","2017-11-21 18:16:59.053692","映画"
20795,"特撮",20764,4427,"2017-11-21 18:16:59.055552","2017-11-21 18:16:59.055552","映画"
20796,"トルコ",20764,4430,"2017-11-21 18:16:59.057301","2017-11-21 18:16:59.057301","映画"
20797,"アーバン",20764,4419,"2017-11-21 18:16:59.058911","2017-11-21 18:16:59.058911","映画"
20798,"西部劇",20764,4418,"2017-11-21 18:16:59.060534","2017-11-21 18:16:59.060534","映画"
20799,"ミュージック",,34,"2017-11-21 18:16:59.062261","2017-11-21 18:16:59.062261","ミュージック"
20800,"オルタナティブ",20799,20,"2017-11-21 18:16:59.064065","2017-11-21 18:16:59.064065","ミュージック"
20801,"アニメ",20799,29,"2017-11-21 18:16:59.065908","2017-11-21 18:16:59.065908","ミュージック"
20802,"アラブ音楽",20799,1197,"2017-11-21 18:16:59.067648","2017-11-21 18:16:59.067648","ミュージック"
20803,"ブルース",20799,2,"2017-11-21 18:16:59.069299","2017-11-21 18:16:59.069299","ミュージック"
20804,"ブラジル",20799,1122,"2017-11-21 18:16:59.071510","2017-11-21 18:16:59.071510","ミュージック"
20805,"チルドレン・ミュージック",20799,4,"2017-11-21 18:16:59.073476","2017-11-21 18:16:59.073476","ミュージック"
20806,"中国語",20799,1232,"2017-11-21 18:16:59.075326","2017-11-21 18:16:59.075326","ミュージック"
20807,"クリスチャンミュージック",20799,22,"2017-11-21 18:16:59.077067","2017-11-21 18:16:59.077067","ミュージック"
20808,"クラシック",20799,5,"2017-11-21 18:16:59.078868","2017-11-21 18:16:59.078868","ミュージック"
20809,"コメディ",20799,3,"2017-11-21 18:16:59.080589","2017-11-21 18:16:59.080589","ミュージック"
20810,"カントリー",20799,6,"2017-11-21 18:16:59.082659","2017-11-21 18:16:59.082659","ミュージック"
20811,"キューバ音楽",20799,100024,"2017-11-21 18:16:59.084498","2017-11-21 18:16:59.084498","ミュージック"
20812,"ダンス",20799,17,"2017-11-21 18:16:59.087871","2017-11-21 18:16:59.087871","ミュージック"
20813,"ディズニー",20799,50000063,"2017-11-21 18:16:59.093785","2017-11-21 18:16:59.093785","ミュージック"
20814,"イージーリスニング",20799,25,"2017-11-21 18:16:59.095875","2017-11-21 18:16:59.095875","ミュージック"
20815,"エレクトロニック",20799,7,"2017-11-21 18:16:59.097758","2017-11-21 18:16:59.097758","ミュージック"
20816,"演歌",20799,28,"2017-11-21 18:16:59.099586","2017-11-21 18:16:59.099586","ミュージック"
20817,"フィットネス／エクササイズ",20799,50,"2017-11-21 18:16:59.101362","2017-11-21 18:16:59.101362","ミュージック"
20818,"フォーク",20799,1289,"2017-11-21 18:16:59.103345","2017-11-21 18:16:59.103345","ミュージック"
