id,name,category,price_amount,price_currency,summary,copyrights,artist,image_url,itunes_medium_id,created_at,updated_at
803,"パイレーツ・オブ・カリビアン/最後の海賊 (字幕/吹替)","映画",2500,JPY,"かつて、海賊撲滅に情熱を捧げるスペイン人将校がいた。彼の名はサラザール。まだ少年だったジャック・スパロウにハメられ、彼は“海の死神”として<魔の三角海域>に幽閉されてしまう。時が流れ、ついに自由を得たサラザールは、死者の軍団を率いて海賊撲滅とジャックへの復讐を誓う。ついに海賊全滅へのカウントダウンが始まったのだった。ジャックがサラザールの復讐から逃れる方法はただ一つ。どんな呪いも解くことができ、しかも<最後の海賊>のみが見つけ出せるという伝説の秘宝、<ポセイドンの槍>を手に入れること。かつてジャックと冒険を共にしたウィル・ターナー、その息子ヘンリー、女性天文学者カリーナ、宿敵バルボッサなど、様々な運命が交差し始める。サラザールの脅威が迫る中、最後に宝を手に入れるのはいったい誰か? そして、ジャックVS海の死神の決戦の行方は?全ての謎が明かされる<最後の冒険>が、ついに幕を開ける!",,"Joachim Rønning & Espen Sandberg",http://is2.mzstatic.com/image/thumb/Video118/v4/2f/ca/68/2fca684e-2ac3-9ff4-3aaf-388e6c9d25e1/pr_source.jpg/170x170bb-85.jpg,1275421847,"2017-11-21 18:17:10.335337","2017-11-21 18:17:10.335337"
804,"スパイダーマン：ホームカミング  (字幕/吹替)","映画",2500,JPY,"ベルリンでのアベンジャーズの戦いに参加し、大興奮していたスパイダーマン＝ピーター・パーカー(トム・ホランド)。昼間は普通の高校生としてスクールライフをエンジョイし、放課後は憧れのアイアンマン=トニー・スターク(ロバート・ダウニー・Jr)から貰った特製スーツに身を包み、NYの街を救うべくパトロールの日々。ある日、スタークに恨みを抱く“バルチャー”（マイケル・キートン）が、巨大な翼を装着しNYを危機に陥れる。アベンジャーズに任せておけというスタークの忠告も聞かず、ピーターは一人戦いに挑むが・・・。",,"Jon Watts",http://is5.mzstatic.com/image/thumb/Video118/v4/e9/0d/b8/e90db884-7c47-540e-259e-5e975ec41c69/SPE_SPIDER-MAN_HOMECOMING_JAPAN_JP_ARTWORK_JA-JP_2000x3000_VMMI7000000HB.lsr/170x170bb-85.jpg,1243195844,"2017-11-21 18:17:10.373415","2017-11-21 18:17:10.373415"
805,"オーシャンズ11(字幕版)","映画",1500,JPY,"4年の刑期を終え、仮釈放されたカリスマ窃盗犯ダニー･オーシャンは、すでに次なる標的を決めていた。それは、ホテル王ベネディクトが経営するラスベガスの3大カジノ“ベラージオ”“ミラージュ”“MGMグランド”の巨大地下金庫に眠る総額1億5000万ドル！計画遂行のためにオーシャンがスカウトしたのは、頭の切れるいかさまトランプ師ラスティーをはじめ、スリの達人ライナス、爆破の達人バシャー、元カジノ･オーナーのルーベン、メカに強いバージル&ターク兄弟、カード･ディーラーのフランク、元詐欺師で変装の達人ソール、配線のプロであるリビングストン、アクロバットの達人で中国系アメリカ人イエン。かくして11人のスペシャリストたちによる犯罪ドリームチームが誕生した！",,"スティーブン・ソダーバーグ",http://is4.mzstatic.com/image/thumb/Video/55/aa/8e/mzl.rtqxrbgl.jpg/170x170bb-85.jpg,397614878,"2017-11-21 18:17:10.379626","2017-11-21 18:17:10.379626"
806,"アトラクション -制圧- (字幕/吹替)","映画",2500,JPY,"ロシア、流星群のニュースが話題になっているチェルタノヴォの街に降り注いだのは、巨大な球体の宇宙船だった！街を次々になぎ倒し、不時着する宇宙船。軍が現場に急行すると、そこには奇妙なエイリアンの姿が確認される。一方、この墜落事故により親友を失ったユリヤが、ボーイフレンドらと共に、エイリアン捕獲のために墜落現場へと向かうことに。しかし、荒れ果てた現場に現れたエイリアンは、人間と見分けがつかない姿をしているどころか、高所で足を踏み外したユリヤを助ける優しさを見せる――。しかし、その間にもエイリアンの捕獲のために軍は兵力を増して二人に迫り、遂に人類VSエイリアンの一世一代の闘いが始まる！",,"フョードル・ボンダルチューク",http://is2.mzstatic.com/image/thumb/Video118/v4/07/8e/f8/078ef88a-b41c-b983-7f48-703cabbf86ee/Presidio_01_0088_poster.jpg/170x170bb-85.jpg,1296161625,"2017-11-21 18:17:10.387607","2017-11-21 18:17:10.387607"
807,"ワンダーウーマン (字幕/吹替)","映画",2500,JPY,"2017年ー最強の美女戦士が来る！！ワンダーウーマン。それは、バットマンが[地球上で最強]と認めた、アメコミ界ぶっちぎりの美女戦士。プリンセスにして、地球最高レベルの強さと美しさを兼ね備えたスーパーヒ―ロー。しかし、外の世界を一切知らず、男性を見たことすらない。そんな彼女は、初めての世界で何を見て、何のために戦うのか？新次元のスーパーヒ―ローが世界を席巻する！",,"Patty Jenkins",http://is3.mzstatic.com/image/thumb/Video128/v4/5a/a0/67/5aa067bf-9909-fda6-a7fd-a553460cb6a6/Wonder_Woman.jpg/170x170bb-85.jpg,1235765633,"2017-11-21 18:17:10.394111","2017-11-21 18:17:10.394111"
808,"パトリオット・デイ (字幕/吹替)","映画",2500,JPY,"2013年4月15日。殺人課の刑事トミー(マーク・ウォルバーグ)は朝からボストンマラソンの警備に駆り出されていた。オリンピックの次に歴史の古いこのマラソン大会は、毎年祝日である“愛国者の日”に開催され、117回目を迎えるこの日も50万人の観衆で賑わっていた。次々と走者がゴールし最高潮の盛り上がりの最中、トミーの背後で突如大爆発が起こる。歓声は悲鳴に変わり、煙が立ち込める中に血を流した負傷者たちが折り重なって倒れていた。トミーらボストン警察は事態が飲みこめないまま必死の救護活動にあたる。そして、到着したFBI捜査官リック(ケヴィン・ベーコン)が現場を慎重に観察し「これはテロだ」と断言した。テロだとFBIに管轄が移る。犯人に対する怒りがふつふつと湧き上がっていたトミーは歯ぎしりをするが、病院を回って負傷者たちの話を丁寧に聞いてまわるのだった。やがて監視カメラに映る不審な“黒い帽子の男”と“白い帽子の男”が容疑者として浮上する・・。",,"Peter Berg",http://is2.mzstatic.com/image/thumb/Video118/v4/49/d6/a2/49d6a280-f8ac-0c9f-8263-0231074e6d8d/KF0009.jpg/170x170bb-85.jpg,1277102257,"2017-11-21 18:17:10.400367","2017-11-21 18:17:10.400367"
809,"トランスフォーマー／最後の騎士王 (字幕/吹替)","映画",2500,JPY,"監督マイケル･ベイと製作総指揮スティーブン･スピルバーグが、さらに強力で破壊的なトランスフォーマーを放つ。地球を破壊し、サイバトロン星を蘇らせようとするオプティマス･プライム。偉大なるヒーローが地球の最も恐ろしい敵と化してしまう。バンブルビーとケイド･イェーガー（マーク･ウォールバーグ）は人類を滅亡から救うため、オートボットを率いて、かつての仲間に立ち向かい、究極の戦いを繰り広げる。",,"Michael Bay",http://is3.mzstatic.com/image/thumb/Video118/v4/aa/a5/69/aaa569af-281e-c477-ac90-813a24d4ead9/pr_source.lsr/170x170bb-85.jpg,1245801358,"2017-11-21 18:17:10.406874","2017-11-21 18:17:10.406874"
810,"カーズ/クロスロード (字幕/吹替)","映画",2500,JPY,"華々しく活躍してきた天才レーサーで最強のチャンピオン、ライトニング・マックィーン。しかし、ベテラン・レーサーの彼を待ち受けていたのは、最新テクノロジーを追求した次世代レーサー、ジャクソン・ストームだった。そして、ストームとのバトルで焦ったマックィーンは、レースで大事故を起こしてしまう・・・。マックィーンは再びレースに出るために、レーサーに憧れ夢を諦めた過去を持つトレーナー、新たな仲間のクルーズ・ラミレスと、最新のトレーニング・マシンで鍛え始める。果たしてマックィーンは、再びレースに戻れるのか・・・？ディズニー/ピクサーが贈る、シリーズ最高傑作！",,"Brian Fee",http://is4.mzstatic.com/image/thumb/Video118/v4/f3/59/8c/f3598ce0-8f30-8fe5-903c-30cc6c915b08/pr_source.jpg/170x170bb-85.jpg,1282759269,"2017-11-21 18:17:10.412809","2017-11-21 18:17:10.412809"
811,"君の名は。","映画",2500,JPY,"千年ぶりとなる彗星の来訪を一か月後に控えた日本。田舎町に暮らす女子高校生・三葉は憂鬱な毎日を過ごしていた。ある日、自分が男の子になる夢を見る。見覚えのない部屋、見知らぬ友人、目の前に広がるのは東京の街並み。都会での生活を満喫する三葉。一方、東京で暮らす男子高校生・瀧も奇妙な夢を見た。行ったこともない山奥の町で、自分が女子高校生になっているのだ。繰り返される不思議な夢、明らかに抜け落ちている記憶と時間。二人はお互いが入れ替わっていることに気付く。何度も入れ替わる事に戸惑いながらも、現実を少しずつ受け止める二人。残されたお互いのメモを通して、状況を乗り切っていく。しかし、気持ちが打ち解けてきた矢先、突然入れ替わりが途切れてしまう。自分たちが特別に繋がっていたことに気付いた瀧は、三葉に会いに行こうと決心。辿り着いた先には、意外な真実が待ち受けていた…。",,"新海誠",http://is1.mzstatic.com/image/thumb/Video51/v4/ae/36/19/ae361972-c904-f525-73a5-ec7094c758bd/YourName_iTunes_poster.lsr/170x170bb-85.jpg,1229969443,"2017-11-21 18:17:10.419158","2017-11-21 18:17:10.419158"
812,"ザ・マミー：呪われた砂漠の王女 (字幕/吹替) (2017)","映画",2500,JPY,"米軍関係者のニックと考古学者のジェニーは中東の地下空間に隠された巨大な棺を発見。調査のため棺を輸送するが、想定外の事態に陥り飛行機は墜落。即死のはずのニックが目を覚ますと、無傷で遺体安置所に横たえられていた。ニックは棺の行方を捜すため、その場を後にする。同じころ飛行機が墜落した場所では、古代にファラオから裏切られ邪悪なモンスターと化し封印された王女アマネットが、復讐のため復活しようとしていた。",,"Alex Kurtzman",http://is1.mzstatic.com/image/thumb/Video118/v4/6e/4e/33/6e4e33d1-6ff8-04d0-a7a4-008ba8d11012/02474_MLJP_JP_TheMummy_2000x3000.lsr/170x170bb-85.jpg,1280448637,"2017-11-21 18:17:10.425764","2017-11-21 18:17:10.425764"
