id,medium_id,genre_id,rank,created_at,updated_at
1,744,20636,1,"2017-11-21 17:55:36.490583","2017-11-21 17:55:36.490583"
2,745,20636,2,"2017-11-21 17:55:36.495837","2017-11-21 17:55:36.495837"
3,746,20636,3,"2017-11-21 17:55:36.503667","2017-11-21 17:55:36.503667"
4,747,20636,4,"2017-11-21 17:55:36.508393","2017-11-21 17:55:36.508393"
5,748,20636,5,"2017-11-21 17:55:36.513682","2017-11-21 17:55:36.513682"
6,749,20636,6,"2017-11-21 17:55:36.518980","2017-11-21 17:55:36.518980"
7,750,20636,7,"2017-11-21 17:55:36.523550","2017-11-21 17:55:36.523550"
8,751,20636,8,"2017-11-21 17:55:36.528808","2017-11-21 17:55:36.528808"
9,752,20636,9,"2017-11-21 17:55:36.533836","2017-11-21 17:55:36.533836"
10,753,20636,10,"2017-11-21 17:55:36.538497","2017-11-21 17:55:36.538497"
11,744,20637,1,"2017-11-21 17:55:37.627211","2017-11-21 17:55:37.627211"
12,745,20637,2,"2017-11-21 17:55:37.634649","2017-11-21 17:55:37.634649"
13,746,20637,3,"2017-11-21 17:55:37.640900","2017-11-21 17:55:37.640900"
14,747,20637,4,"2017-11-21 17:55:37.644307","2017-11-21 17:55:37.644307"
15,748,20637,5,"2017-11-21 17:55:37.647179","2017-11-21 17:55:37.647179"
16,750,20637,6,"2017-11-21 17:55:37.650414","2017-11-21 17:55:37.650414"
17,749,20637,7,"2017-11-21 17:55:37.653382","2017-11-21 17:55:37.653382"
18,754,20637,8,"2017-11-21 17:55:37.658154","2017-11-21 17:55:37.658154"
19,753,20637,9,"2017-11-21 17:55:37.660821","2017-11-21 17:55:37.660821"
20,755,20637,10,"2017-11-21 17:55:37.665790","2017-11-21 17:55:37.665790"
21,756,20638,1,"2017-11-21 17:55:38.745370","2017-11-21 17:55:38.745370"
22,757,20638,2,"2017-11-21 17:55:38.752476","2017-11-21 17:55:38.752476"
23,758,20638,3,"2017-11-21 17:55:38.760648","2017-11-21 17:55:38.760648"
24,759,20638,4,"2017-11-21 17:55:38.766966","2017-11-21 17:55:38.766966"
25,760,20638,5,"2017-11-21 17:55:38.772984","2017-11-21 17:55:38.772984"
26,761,20638,6,"2017-11-21 17:55:38.778771","2017-11-21 17:55:38.778771"
27,762,20638,7,"2017-11-21 17:55:38.785350","2017-11-21 17:55:38.785350"
28,763,20638,8,"2017-11-21 17:55:38.791241","2017-11-21 17:55:38.791241"
29,751,20639,1,"2017-11-21 17:55:39.891794","2017-11-21 17:55:39.891794"
30,764,20639,2,"2017-11-21 17:55:39.898472","2017-11-21 17:55:39.898472"
